order,family,scientific name,actividad,horario,IUCN_red_list_category,Confidence
Passeriformes,Tyrannidae (Tyrant Flycatchers),Legatus leucophaius,diurna,610 - 1800,LC,0.5891923076923077
Passeriformes,Tyrannidae (Tyrant Flycatchers),Megarynchus pitangua,diurna,550 - 1800,LC,0.8056087174721189
Passeriformes,Tyrannidae (Tyrant Flycatchers),Megarynchus pitangua,nocturna,500 - 530,LC,0.7513307543520309
Passeriformes,Tyrannidae (Tyrant Flycatchers),Mionectes oleagineus,diurna,700 - 1500,LC,0.58338
Passeriformes,Tyrannidae (Tyrant Flycatchers),Mionectes oleagineus,nocturna,200 - 300,LC,0.6425
Passeriformes,Tyrannidae (Tyrant Flycatchers),Mitrephanes phaeocercus,diurna,1100 - 1300,LC,0.5495666666666666
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus crinitus,diurna,600 - 1700,LC,0.6114408450704225
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus nuttingi,diurna,550 - 1640,LC,0.7035333333333333
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus nuttingi,nocturna,530 - 530,LC,0.6306
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus tuberculifer,diurna,600 - 1800,LC,0.6936573023671282
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus tyrannulus,diurna,600 - 1620,LC,0.6461160714285714
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiodynastes luteiventris,diurna,600 - 1740,LC,0.7443739130434783
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiodynastes luteiventris,nocturna,530 - 530,LC,0.5054
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiozetetes similis,diurna,550 - 1800,LC,0.7579321738022425
Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiozetetes similis,nocturna,530 - 530,LC,0.7517066666666667
Passeriformes,Tyrannidae (Tyrant Flycatchers),Oncostoma cinereigulare,diurna,1500 - 1500,LC,0.5694
Passeriformes,Tyrannidae (Tyrant Flycatchers),Pitangus sulphuratus,diurna,550 - 1800,LC,0.7364321610365572
Passeriformes,Tyrannidae (Tyrant Flycatchers),Pitangus sulphuratus,nocturna,500 - 530,LC,0.7547107011070111
Passeriformes,Tyrannidae (Tyrant Flycatchers),Rhynchocyclus brevirostris,diurna,600 - 1700,LC,0.6424061349693251
Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis nigricans,diurna,900 - 1600,LC,0.6885444444444445
Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis nigricans,nocturna,0 - 0,LC,0.5101
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus melancholicus,diurna,600 - 1800,LC,0.6596027027027027
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus melancholicus,nocturna,100 - 2100,LC,0.5567
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus savana,diurna,700 - 700,LC,0.6558545454545455
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus tyrannus,diurna,1000 - 1100,LC,0.6890499999999999
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus tyrannus,nocturna,1900 - 1900,LC,0.6198
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus verticalis,diurna,900 - 1100,LC,0.5986
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Cyclarhis gujanensis,diurna,550 - 1740,LC,0.6935823700908935
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Cyclarhis gujanensis,nocturna,530 - 530,LC,0.54365
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Pachysylvia decurtata,diurna,1000 - 1000,LC,0.5312
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo flavoviridis,diurna,600 - 1620,LC,0.6700566666666667
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo flavoviridis,nocturna,530 - 530,LC,0.5276
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo gilvus,diurna,1000 - 1000,LC,0.5484
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo leucophrys,diurna,1100 - 1200,LC,0.55965
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo olivaceus,diurna,700 - 1700,LC,0.59185
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ardea alba,diurna,800 - 1200,LC,0.5965
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ardea alba,nocturna,2300 - 2300,LC,0.5293
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Ardea herodias,diurna,600 - 1640,LC,0.5778071428571429
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Cochlearius cochlearius,diurna,600 - 1100,LC,0.59385
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Tigrisoma mexicanum,diurna,1300 - 1800,LC,0.6897599999999999
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Tigrisoma mexicanum,nocturna,100 - 300,LC,0.57255
Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),Eudocimus albus,diurna,700 - 1600,LC,0.6681250000000001
Piciformes,Picidae (Woodpeckers),Campephilus guatemalensis,diurna,1100 - 1600,LC,0.5285000000000001
Piciformes,Picidae (Woodpeckers),Colaptes auratus,diurna,600 - 1740,LC,0.6087
Piciformes,Picidae (Woodpeckers),Colaptes rubiginosus,diurna,800 - 1600,LC,0.70432
Piciformes,Picidae (Woodpeckers),Melanerpes aurifrons,diurna,550 - 1800,LC,0.7914349339735894
Piciformes,Picidae (Woodpeckers),Melanerpes aurifrons,nocturna,500 - 530,LC,0.72084
Piciformes,Picidae (Woodpeckers),Melanerpes formicivorus,diurna,600 - 1720,LC,0.6271853658536586
Piciformes,Picidae (Woodpeckers),Melanerpes formicivorus,nocturna,100 - 2200,LC,0.6707636363636363
Piciformes,Picidae (Woodpeckers),Melanerpes hoffmannii,diurna,600 - 1740,LC,0.5971534482758621
Piciformes,Picidae (Woodpeckers),Melanerpes hoffmannii,nocturna,500 - 500,LC,0.5073
Piciformes,Ramphastidae (Toucans),Aulacorhynchus prasinus,diurna,600 - 1800,LC,0.6547870967741936
Piciformes,Ramphastidae (Toucans),Aulacorhynchus prasinus,nocturna,0 - 2300,LC,0.6612976744186047
Piciformes,Ramphastidae (Toucans),Pteroglossus torquatus,diurna,700 - 1700,LC,0.730775
Piciformes,Ramphastidae (Toucans),Ramphastos sulfuratus,diurna,600 - 1800,NT,0.6560725
Piciformes,Ramphastidae (Toucans),Ramphastos sulfuratus,nocturna,0 - 2200,NT,0.664397619047619
Podicipediformes,Podicipedidae (Grebes),Podilymbus podiceps,diurna,1800 - 1800,LC,0.6277111111111111
Podicipediformes,Podicipedidae (Grebes),Podilymbus podiceps,nocturna,0 - 2300,LC,0.58083
Podicipediformes,Podicipedidae (Grebes),Tachybaptus dominicus,diurna,700 - 800,LC,0.6235333333333334
Psittaciformes,Psittacidae (New World and African Parrots),Brotogeris jugularis,diurna,600 - 1600,LC,0.8511599999999999
Psittaciformes,Psittacidae (New World and African Parrots),Eupsittula canicularis,diurna,600 - 1700,VU,0.738428
Psittaciformes,Psittacidae (New World and African Parrots),Eupsittula nana,diurna,1700 - 1700,NT,0.6235
Strigiformes,Strigidae (Owls),Bubo virginianus,diurna,600 - 1800,LC,0.6988988235294118
Strigiformes,Strigidae (Owls),Bubo virginianus,nocturna,0 - 2300,LC,0.71558075
Strigiformes,Strigidae (Owls),Glaucidium brasilianum,diurna,600 - 1800,LC,0.7129817404817405
Strigiformes,Strigidae (Owls),Glaucidium brasilianum,nocturna,0 - 2300,LC,0.7337494172494173
Suliformes,Phalacrocoracidae (Cormorants and Shags),Nannopterum brasilianum,diurna,800 - 1800,LC,0.6548857142857143
Tinamiformes,Tinamidae (Tinamous),Crypturellus cinnamomeus,diurna,550 - 1800,LC,0.6456114379084967
Tinamiformes,Tinamidae (Tinamous),Crypturellus cinnamomeus,nocturna,500 - 530,LC,0.6876583333333333
Tinamiformes,Tinamidae (Tinamous),Crypturellus soui,diurna,700 - 1720,LC,0.5934916666666666
Tinamiformes,Tinamidae (Tinamous),Crypturellus soui,nocturna,0 - 2100,LC,0.5990555555555556
Tinamiformes,Tinamidae (Tinamous),Tinamus major,diurna,1200 - 1200,LC,0.5732
Tinamiformes,Tinamidae (Tinamous),Tinamus major,nocturna,400 - 400,LC,0.5784
Trogoniformes,Trogonidae (Trogons),Pharomachrus mocinno,diurna,600 - 1800,NT,0.6302928571428571
Trogoniformes,Trogonidae (Trogons),Trogon citreolus,diurna,650 - 1240,LC,0.5570857142857143
Trogoniformes,Trogonidae (Trogons),Trogon collaris,diurna,630 - 1700,LC,0.68573125
Trogoniformes,Trogonidae (Trogons),Trogon elegans,diurna,550 - 1800,LC,0.7632562907735322
Trogoniformes,Trogonidae (Trogons),Trogon elegans,nocturna,500 - 500,LC,0.6807708333333333
Trogoniformes,Trogonidae (Trogons),Trogon massena,diurna,630 - 1740,LC,0.6690727272727273
Trogoniformes,Trogonidae (Trogons),Trogon massena,nocturna,2200 - 2200,LC,0.6648
Trogoniformes,Trogonidae (Trogons),Trogon melanocephalus,diurna,550 - 1740,LC,0.6381845528455284
Trogoniformes,Trogonidae (Trogons),Trogon melanocephalus,nocturna,530 - 530,LC,0.6441
